ID,Departamento,Municipio,Tipo_Dato,Tipo_Indicador,Código_Unico,Indicador,Indicador_Des,Fuente,Descripcion_corta,Valor,Valor_Texto,Cod_Dep,Depto,Codigo_Mun,Latitude,Longitude,Geo
1,Huehuetenango,Santa Cruz Barillas,Red de servicios,Lugares poblados,0001,# de aldeas,# de aldeas,MSPAS,,51,,13,Huehuetenango,1326,15.8014,-91.3125,"15.8014,-91.3125"
2,Huehuetenango,San Mateo Ixtatán,Red de servicios,Lugares poblados,0001,# de aldeas,# de aldeas,MSPAS,,49,,13,Huehuetenango,1318,15.833333,-91.483333,"15.833333,-91.483333"
3,Huehuetenango,Santa Eulalia,Red de servicios,Lugares poblados,0001,# de aldeas,# de aldeas,MSPAS,,9,,13,Huehuetenango,1317,15.7333,-91.4586,"15.7333,-91.4586"
4,Huehuetenango,San Pedro Soloma,Red de servicios,Lugares poblados,0001,# de aldeas,# de aldeas,MSPAS,,22,,13,Huehuetenango,1308,15.716667,-91.45,"15.716667,-91.45"
5,Huehuetenango,Todos Santos Cuchumatán,Red de servicios,Lugares poblados,0001,# de aldeas,# de aldeas,MSPAS,,7,,13,Huehuetenango,1315,15.5116,-91.6051,"15.5116,-91.6051"
6,Huehuetenango,Chiantla,Red de servicios,Lugares poblados,0001,# de aldeas,# de aldeas,MSPAS,,32,,13,Huehuetenango,1302,15.35669,-91.456761,"15.35669,-91.456761"
7,Huehuetenango,Cuilco,Red de servicios,Lugares poblados,0001,# de aldeas,# de aldeas,MSPAS,,44,,13,Huehuetenango,1304,15.406944,-91.945833,"15.406944,-91.945833"
8,Huehuetenango,Jacaltenango,Red de servicios,Lugares poblados,0001,# de aldeas,# de aldeas,MSPAS,,23,,13,Huehuetenango,1307,15.666667,-91.733333,"15.666667,-91.733333"
9,Huehuetenango,La Democracia,Red de servicios,Lugares poblados,0001,# de aldeas,# de aldeas,MSPAS,,28,,13,Huehuetenango,1312,15.6333,-91.8667,"15.6333,-91.8667"
10,Huehuetenango,La Libertad,Red de servicios,Lugares poblados,0001,# de aldeas,# de aldeas,MSPAS,,20,,13,Huehuetenango,1311,15.5,-91.8333,"15.5,-91.8333"
11,Huehuetenango,San Pedro Soloma,Red de servicios,Servicios de salud segundo nivel,0002,# de centros de atención integral materno infantil (CAIMI),# de centros de atención integral materno infantil (CAIMI),MSPAS,,1,,13,Huehuetenango,1308,15.716667,-91.45,"15.716667,-91.45"
12,Huehuetenango,Cuilco,Red de servicios,Servicios de salud segundo nivel,0002,# de centros de atención integral materno infantil (CAIMI),# de centros de atención integral materno infantil (CAIMI),MSPAS,,1,,13,Huehuetenango,1304,15.406944,-91.945833,"15.406944,-91.945833"
13,Quiché,Cotzal,Red de servicios,Servicios de salud segundo nivel,0003,# de centros de atención permanente (CAP),# de centros de atención permanente (CAP),MSPAS,,1,,14,Quiché,1411,15.435278,-91.035556,"15.435278,-91.035556"
14,Quiché,Chajul,Red de servicios,Servicios de salud segundo nivel,0003,# de centros de atención permanente (CAP),# de centros de atención permanente (CAP),MSPAS,,1,,14,Quiché,1405,15.487222,-91.034722,"15.487222,-91.034722"
15,Quiché,Cunén,Red de servicios,Servicios de salud segundo nivel,0003,# de centros de atención permanente (CAP),# de centros de atención permanente (CAP),MSPAS,,1,,14,Quiché,1410,15.3375,-91.033333,"15.3375,-91.033333"
16,Quiché,Uspantán,Red de servicios,Servicios de salud segundo nivel,0003,# de centros de atención permanente (CAP),# de centros de atención permanente (CAP),MSPAS,,2,,14,Quiché,1415,15.345833,-90.869444,"15.345833,-90.869444"
17,Huehuetenango,Santa Cruz Barillas,Red de servicios,Servicios de salud segundo nivel,0003,# de centros de atención permanente (CAP),# de centros de atención permanente (CAP),MSPAS,,1,,13,Huehuetenango,1326,15.8014,-91.3125,"15.8014,-91.3125"
18,Huehuetenango,San Mateo Ixtatán,Red de servicios,Servicios de salud segundo nivel,0003,# de centros de atención permanente (CAP),# de centros de atención permanente (CAP),MSPAS,,1,,13,Huehuetenango,1318,15.833333,-91.483333,"15.833333,-91.483333"
19,Huehuetenango,Santa Eulalia,Red de servicios,Servicios de salud segundo nivel,0003,# de centros de atención permanente (CAP),# de centros de atención permanente (CAP),MSPAS,,1,,13,Huehuetenango,1317,15.7333,-91.4586,"15.7333,-91.4586"
20,Huehuetenango,San Pedro Soloma,Red de servicios,Servicios de salud segundo nivel,0003,# de centros de atención permanente (CAP),# de centros de atención permanente (CAP),MSPAS,,1,,13,Huehuetenango,1308,15.716667,-91.45,"15.716667,-91.45"
21,Huehuetenango,Todos Santos Cuchumatán,Red de servicios,Servicios de salud segundo nivel,0003,# de centros de atención permanente (CAP),# de centros de atención permanente (CAP),MSPAS,,1,,13,Huehuetenango,1315,15.5116,-91.6051,"15.5116,-91.6051"
22,Huehuetenango,Cuilco,Red de servicios,Servicios de salud segundo nivel,0003,# de centros de atención permanente (CAP),# de centros de atención permanente (CAP),MSPAS,,1,,13,Huehuetenango,1304,15.406944,-91.945833,"15.406944,-91.945833"
23,Huehuetenango,Jacaltenango,Red de servicios,Servicios de salud segundo nivel,0003,# de centros de atención permanente (CAP),# de centros de atención permanente (CAP),MSPAS,,1,,13,Huehuetenango,1307,15.666667,-91.733333,"15.666667,-91.733333"
24,Huehuetenango,La Democracia,Red de servicios,Servicios de salud segundo nivel,0003,# de centros de atención permanente (CAP),# de centros de atención permanente (CAP),MSPAS,,1,,13,Huehuetenango,1312,15.6333,-91.8667,"15.6333,-91.8667"
25,Huehuetenango,La Libertad,Red de servicios,Servicios de salud segundo nivel,0003,# de centros de atención permanente (CAP),# de centros de atención permanente (CAP),MSPAS,,1,,13,Huehuetenango,1311,15.5,-91.8333,"15.5,-91.8333"
26,Quiché,Nebaj,Red de servicios,Servicios de salud primer nivel,0004,# de centros de convergencia,# de centros de convergencia,MSPAS,,31,,14,Quiché,1413,15.408333,-91.147222,"15.408333,-91.147222"
27,Quiché,Cotzal,Red de servicios,Servicios de salud primer nivel,0004,# de centros de convergencia,# de centros de convergencia,MSPAS,,12,,14,Quiché,1411,15.435278,-91.035556,"15.435278,-91.035556"
28,Quiché,Chajul,Red de servicios,Servicios de salud primer nivel,0004,# de centros de convergencia,# de centros de convergencia,MSPAS,,11,,14,Quiché,1405,15.487222,-91.034722,"15.487222,-91.034722"
29,Quiché,Cunén,Red de servicios,Servicios de salud primer nivel,0004,# de centros de convergencia,# de centros de convergencia,MSPAS,,19,,14,Quiché,1410,15.3375,-91.033333,"15.3375,-91.033333"
30,Quiché,Uspantán,Red de servicios,Servicios de salud primer nivel,0004,# de centros de convergencia,# de centros de convergencia,MSPAS,,16,,14,Quiché,1415,15.345833,-90.869444,"15.345833,-90.869444"
31,Quiché,Chajul,Red de servicios,Servicios de salud segundo nivel,0005,# de centros de recuperación nutricional (CRN),# de centros de recuperación nutricional (CRN),MSPAS,,1,,14,Quiché,1405,15.487222,-91.034722,"15.487222,-91.034722"
32,Quiché,Depto. Quiché,Red de servicios,Servicios de salud segundo nivel,0006,# de hospitales distritales,# de hospitales distritales,MSPAS,,3,,14,Quiché,1401,15.03,-91.15,"15.03,-91.15"
33,Quiché,Nebaj,Red de servicios,Servicios de salud segundo nivel,0006,# de hospitales distritales,# de hospitales distritales,MSPAS,,1,,14,Quiché,1413,15.408333,-91.147222,"15.408333,-91.147222"
34,Quiché,Uspantán,Red de servicios,Servicios de salud segundo nivel,0006,# de hospitales distritales,# de hospitales distritales,MSPAS,,1,,14,Quiché,1415,15.345833,-90.869444,"15.345833,-90.869444"
35,Huehuetenango,Depto. Huehuetenango,Red de servicios,Servicios de salud segundo nivel,0006,# de hospitales distritales,# de hospitales distritales,MSPAS,,2,,13,Huehuetenango,1301,15.314722,-91.476111,"15.314722,-91.476111"
36,Huehuetenango,Santa Cruz Barillas,Red de servicios,Servicios de salud segundo nivel,0006,# de hospitales distritales,# de hospitales distritales,MSPAS,,1,,13,Huehuetenango,1326,15.8014,-91.3125,"15.8014,-91.3125"
37,Quiché,Depto. Quiché,Red de servicios,Servicios de salud tercer nivel,0007,# de hospitales nacionales,# de hospitales nacionales,MSPAS,,1,,14,Quiché,1401,15.03,-91.15,"15.03,-91.15"
38,Quiché,Nebaj,Red de servicios,Servicios de salud tercer nivel,0007,# de hospitales nacionales,# de hospitales nacionales,MSPAS,,1,,14,Quiché,1413,15.408333,-91.147222,"15.408333,-91.147222"
39,Quiché,Uspantán,Red de servicios,Servicios de salud tercer nivel,0007,# de hospitales nacionales,# de hospitales nacionales,MSPAS,,,,14,Quiché,1415,15.345833,-90.869444,"15.345833,-90.869444"
40,Huehuetenango,Depto. Huehuetenango,Red de servicios,Servicios de salud tercer nivel,0007,# de hospitales nacionales,# de hospitales nacionales,MSPAS,,1,,13,Huehuetenango,1301,15.314722,-91.476111,"15.314722,-91.476111"
41,Huehuetenango,Santa Cruz Barillas,Red de servicios,Servicios de salud tercer nivel,0007,# de hospitales nacionales,# de hospitales nacionales,MSPAS,,,,13,Huehuetenango,1326,15.8014,-91.3125,"15.8014,-91.3125"
42,Quiché,Nebaj,Red de servicios,Servicios de salud primer nivel,0008,# de puestos de salud,# de puestos de salud,MSPAS,,12,,14,Quiché,1413,15.408333,-91.147222,"15.408333,-91.147222"
43,Quiché,Cotzal,Red de servicios,Servicios de salud primer nivel,0008,# de puestos de salud,# de puestos de salud,MSPAS,,5,,14,Quiché,1411,15.435278,-91.035556,"15.435278,-91.035556"
44,Quiché,Chajul,Red de servicios,Servicios de salud primer nivel,0008,# de puestos de salud,# de puestos de salud,MSPAS,,14,,14,Quiché,1405,15.487222,-91.034722,"15.487222,-91.034722"
45,Quiché,Cunén,Red de servicios,Servicios de salud primer nivel,0008,# de puestos de salud,# de puestos de salud,MSPAS,,3,,14,Quiché,1410,15.3375,-91.033333,"15.3375,-91.033333"
46,Quiché,Uspantán,Red de servicios,Servicios de salud primer nivel,0008,# de puestos de salud,# de puestos de salud,MSPAS,,13,,14,Quiché,1415,15.345833,-90.869444,"15.345833,-90.869444"
47,Huehuetenango,Santa Cruz Barillas,Red de servicios,Servicios de salud primer nivel,0008,# de puestos de salud,# de puestos de salud,MSPAS,,6,,13,Huehuetenango,1326,15.8014,-91.3125,"15.8014,-91.3125"
48,Huehuetenango,San Mateo Ixtatán,Red de servicios,Servicios de salud primer nivel,0008,# de puestos de salud,# de puestos de salud,MSPAS,,2,,13,Huehuetenango,1318,15.833333,-91.483333,"15.833333,-91.483333"
